
C:\Users\core\Documents\research\fileless\metasploit>C:\bin\nmap\nmap.exe localhost -sS 
Starting Nmap 7.80 ( https://nmap.org ) at 2021-04-21 22:18 Eastern Daylight Time
Skipping SYN Stealth Scan against localhost (127.0.0.1) because Windows does not support scanning your own machine (localhost) this way.
Nmap scan report for localhost (127.0.0.1)
Host is up.
Other addresses for localhost (not scanned): ::1
rDNS record for 127.0.0.1: kubernetes.docker.internal

PORT      STATE   SERVICE
1/tcp     unknown tcpmux
8083/tcp  unknown us-srv
8084/tcp  unknown unknown
8085/tcp  unknown unknown
8086/tcp  unknown d-s-n
8087/tcp  unknown simplifymedia
8088/tcp  unknown radan-http
8089/tcp  unknown unknown
8090/tcp  unknown opsmessaging
8093/tcp  unknown unknown
8099/tcp  unknown unknown
8100/tcp  unknown xprint-server
8180/tcp  unknown unknown
8181/tcp  unknown intermapper
8192/tcp  unknown sophos
8193/tcp  unknown sophos
8194/tcp  unknown sophos
8200/tcp  unknown trivnet1
8222/tcp  unknown unknown
8254/tcp  unknown unknown
8290/tcp  unknown unknown
8291/tcp  unknown unknown
8292/tcp  unknown blp3
8300/tcp  unknown tmi
8333/tcp  unknown bitcoin
8383/tcp  unknown m2mservices
8400/tcp  unknown cvd
8402/tcp  unknown abarsd
8443/tcp  unknown https-alt
8500/tcp  unknown fmtp
8600/tcp  unknown asterix
8649/tcp  unknown unknown
8651/tcp  unknown unknown
8652/tcp  unknown unknown
8654/tcp  unknown unknown
8701/tcp  unknown unknown
8800/tcp  unknown sunwebadmin
8873/tcp  unknown dxspider
8888/tcp  unknown sun-answerbook
8899/tcp  unknown ospf-lite
8994/tcp  unknown unknown
9000/tcp  unknown cslistener
9001/tcp  unknown tor-orport
9002/tcp  unknown dynamid
9003/tcp  unknown unknown
9009/tcp  unknown pichat
9010/tcp  unknown sdr
9011/tcp  unknown d-star
9040/tcp  unknown tor-trans
9050/tcp  unknown tor-socks
9071/tcp  unknown unknown
9080/tcp  unknown glrpc
9081/tcp  unknown cisco-aqos
9090/tcp  unknown zeus-admin
9091/tcp  unknown xmltec-xmlmail
9099/tcp  unknown unknown
9100/tcp  unknown jetdirect
9101/tcp  unknown jetdirect
9102/tcp  unknown jetdirect
9103/tcp  unknown jetdirect
9110/tcp  unknown unknown
9111/tcp  unknown DragonIDSConsole
9200/tcp  unknown wap-wsp
9207/tcp  unknown wap-vcal-s
9220/tcp  unknown unknown
9290/tcp  unknown unknown
9415/tcp  unknown unknown
9418/tcp  unknown git
9485/tcp  unknown unknown
9500/tcp  unknown ismserver
9502/tcp  unknown unknown
9503/tcp  unknown unknown
9535/tcp  unknown man
9575/tcp  unknown unknown
9593/tcp  unknown cba8
9594/tcp  unknown msgsys
9595/tcp  unknown pds
9618/tcp  unknown condor
9666/tcp  unknown zoomcp
9876/tcp  unknown sd
9877/tcp  unknown unknown
9878/tcp  unknown kca-service
9898/tcp  unknown monkeycom
9900/tcp  unknown iua
9917/tcp  unknown unknown
9929/tcp  unknown nping-echo
9943/tcp  unknown unknown
9944/tcp  unknown unknown
9968/tcp  unknown unknown
9998/tcp  unknown distinct32
9999/tcp  unknown abyss
10000/tcp unknown snet-sensor-mgmt
10001/tcp unknown scp-config
10002/tcp unknown documentum
10003/tcp unknown documentum_s
10004/tcp unknown emcrmirccd
10009/tcp unknown swdtp-sv
10010/tcp unknown rxapi
10012/tcp unknown unknown
10024/tcp unknown unknown
10025/tcp unknown unknown
10082/tcp unknown amandaidx
10180/tcp unknown unknown
10215/tcp unknown unknown
10243/tcp unknown unknown
10566/tcp unknown unknown
10616/tcp unknown unknown
10617/tcp unknown unknown
10621/tcp unknown unknown
10626/tcp unknown unknown
10628/tcp unknown unknown
10629/tcp unknown unknown
10778/tcp unknown unknown
11110/tcp unknown sgi-soap
11111/tcp unknown vce
11967/tcp unknown sysinfo-sp
12000/tcp unknown cce4x
12174/tcp unknown unknown
12265/tcp unknown unknown
12345/tcp unknown netbus
13456/tcp unknown unknown
13722/tcp unknown netbackup
13782/tcp unknown netbackup
13783/tcp unknown netbackup
14000/tcp unknown scotty-ft
14238/tcp unknown unknown
14441/tcp unknown unknown
14442/tcp unknown unknown
15000/tcp unknown hydap
